701_ab_pv,701_bc_pv,701_ac_pv,712_ac_pv,713_ac_pv,714_ab_pv,714_bc_pv,718_ab_pv,720_ac_pv,722_bc_pv,722_ac_pv,724_bc_pv,725_bc_pv,727_ac_pv,728_abc_pv,729_ab_pv,730_ac_pv,731_bc_pv,732_ac_pv,733_ab_pv,734_ac_pv,735_ac_pv,736_bc_pv,737_ab_pv,738_ab_pv,740_ac_pv,741_ac_pv,742_ab_pv,742_bc_pv,744_ab_pv
104.8470326,106.329674,298.1912782,73.2019816,72.15569892,13.32627789,16.85238009,67.05428116,57.53112078,99.92535546,18.25235409,34.56116182,28.34609761,31.12815481,97.84140156,30.14664531,70.85249394,72.63108248,33.02138168,65.54641259,34.68247952,72.981613,34.65081806,106.2096344,103.2204874,72.65531887,29.45681891,6.448277313,58.55076198,30.54557179
104.9867874,106.4216199,298.1677612,73.21591398,72.09878116,13.31514165,16.8576241,67.08687031,57.43644214,99.81326949,18.27525501,34.58884778,28.36780135,31.14972557,97.85620723,30.14747469,70.82241261,72.67380141,33.02248342,65.65860533,34.76153129,73.003157,34.60066217,106.2792872,103.2504348,72.65267508,29.4343007,6.454909253,58.5647208,30.56593606
105.2758511,106.6900029,298.1427737,73.28697906,72.06854204,13.31815512,16.86673183,67.0583973,57.3242671,99.64793797,18.30653591,34.59638426,28.34616071,31.15830048,97.78090691,30.14565017,70.84445064,72.68258033,33.00029586,65.70521471,34.84748549,72.91820735,34.56991364,106.179119,103.3859859,72.66794112,29.41108238,6.461086123,58.66118727,30.57911991
105.3210192,107.1759647,298.0038358,73.3328682,72.00378697,13.33356848,16.86999355,67.01881677,57.25584762,99.6383547,18.31953126,34.58506206,28.3143196,31.12725582,97.81937783,30.14838625,70.88272603,72.66719448,33.01959851,65.73534575,34.88770746,72.89278717,34.584977,106.260821,103.3923566,72.67261666,29.398747,6.472420738,58.70649439,30.58264296
105.2931878,107.5627489,298.139763,73.3097142,71.97196655,13.33849211,16.90054871,66.94958029,57.2012589,99.72411755,18.32793221,34.55822023,28.28631863,31.11144576,97.9121879,30.10712736,70.89643346,72.59420247,33.0858744,65.76622188,34.92635897,72.95836095,34.61946428,106.5998215,103.3641431,72.74713558,29.37233162,6.475503084,58.76882976,30.58960326
105.1617248,107.8405743,298.4275833,73.33385354,72.00714272,13.33800674,16.93149966,66.8723042,57.19426003,99.70036622,18.33654091,34.57782765,28.24239601,31.11939479,97.98366767,30.07959992,71.02484203,72.4971254,33.09653917,65.74985114,34.97485573,72.98233358,34.6293254,106.6887559,103.3019661,72.78680461,29.3593512,6.478006595,58.83288057,30.56956401
104.8689936,108.0486538,298.5585219,73.30553444,71.93525917,13.34080937,16.9669444,66.87282987,57.18075946,99.73342062,18.33197652,34.6254678,28.22902765,31.14609305,98.08364137,30.08068557,71.15491394,72.37638004,33.08810761,65.79265213,34.98007537,73.02764143,34.60344013,106.7760726,103.1968698,72.83390154,29.37370053,6.472909368,58.86255677,30.56901025
104.7120518,108.2496111,298.7268122,73.38666858,71.83645957,13.34166774,16.99423602,66.86493649,57.29079829,99.68390041,18.34391003,34.63587152,28.19741388,31.17432977,98.1167897,30.12228786,71.30387103,72.30892957,33.09311461,65.91450653,35.02595298,72.99273557,34.59550579,106.8302118,103.2551356,72.82169918,29.34437724,6.46506823,58.93899754,30.58656056
104.556848,108.5188664,298.7866499,73.54066768,71.71090645,13.35534836,17.0163762,66.84628734,57.33664038,99.63794027,18.37788474,34.64753712,28.20304661,31.1705455,98.09792708,30.12726467,71.41856454,72.30284659,33.06764947,65.92045308,35.09322091,72.93501596,34.57542333,106.8734175,103.3340548,72.93478672,29.30407416,6.465626246,59.01998679,30.60126007
104.153863,108.6912562,298.6760806,73.6242593,71.53658932,13.36263103,17.03869539,66.85176212,57.46416208,99.5518437,18.37954272,34.64079725,28.18663821,31.16787912,98.1160951,30.14530107,71.51160903,72.24457646,33.08065961,65.95765906,35.15487831,72.98762795,34.59828799,106.8078851,103.3828738,72.91156976,29.25285758,6.472307734,59.084538,30.6003173
103.6617615,108.9060243,298.8517509,73.67523503,71.40751821,13.37127737,17.06417403,66.88578775,57.51604263,99.62760619,18.38991627,34.60331864,28.12319794,31.18634565,98.10552047,30.12324634,71.6054058,72.14452697,33.11204621,65.95660726,35.20076951,72.97923018,34.63888157,106.9137386,103.4359621,72.94398271,29.18174881,6.467871885,59.13903092,30.59847047
103.0889191,108.9826035,298.8878518,73.6847763,71.29014311,13.36903718,17.11060627,66.8493491,57.57268434,99.66440941,18.38962301,34.59953331,28.04948117,31.16020916,98.16393948,30.09756833,71.71248023,72.01236612,33.13621932,65.9225813,35.24858429,72.93080145,34.66514359,107.1799818,103.4140648,73.03570629,29.12909714,6.464578314,59.14595531,30.60862341
102.4649505,109.0847039,298.8245816,73.62320086,71.24962106,13.38979846,17.12804364,66.95318225,57.65676443,99.69874468,18.3801361,34.62602511,28.01069352,31.20566638,98.20785343,30.1084443,71.90761247,71.7987559,33.17002853,65.92113587,35.27793259,72.92049113,34.68769979,107.3668691,103.3181521,73.01729068,29.0812166,6.458947446,59.16159506,30.64804187
101.7898844,109.0273251,298.5244213,73.63986316,71.0987592,13.38553616,17.16880179,67.04944535,57.72658713,99.7305141,18.37973309,34.59961033,27.98320418,31.21287231,98.15543044,30.15296645,71.98089334,71.67711412,33.18123866,66.01378374,35.3298608,72.9623594,34.69305628,107.5522132,103.3770112,72.96389236,29.06468654,6.452654558,59.19420877,30.69215964
101.131716,109.2758311,298.1252176,73.72508803,70.93083069,13.39148672,17.1987667,67.10488966,57.85217173,99.61665818,18.40556461,34.56074475,27.93830585,31.23090773,98.09652494,30.16129904,72.15218014,71.63886558,33.17485968,66.05952906,35.41995727,72.85607967,34.66137794,107.706,103.4183452,72.85827958,29.00314582,6.45075765,59.25311807,30.72039662
100.404567,109.5460354,297.6286843,73.75231216,70.72269999,13.40832587,17.21553706,67.13872974,57.9622846,99.74149364,18.41831904,34.52656648,27.88417953,31.23317653,98.16028625,30.15468369,72.27810819,71.57183892,33.18100376,66.07771397,35.48348435,72.78553778,34.67135985,107.8004298,103.4982799,72.79353272,28.93464315,6.452364434,59.3219923,30.77141784
99.72160401,109.6724766,297.3513121,73.74962844,70.63562614,13.40494503,17.24882531,67.15853173,57.99540651,99.86993871,18.42338925,34.47295408,27.7935704,31.22856139,98.2394027,30.16875323,72.34858589,71.46180547,33.17742762,66.01187725,35.5160039,72.8212416,34.70506355,107.9978402,103.5105066,72.82525148,28.84974089,6.445230166,59.36520238,30.78863144
99.08190234,109.7939809,297.3262974,73.76512499,70.62204543,13.39514185,17.27772846,67.23543701,57.99160221,99.89512328,18.40503306,34.45663654,27.71838348,31.25175033,98.19876295,30.13643388,72.48848036,71.37210668,33.19718382,65.9783487,35.54236037,72.83613936,34.7347405,108.2879543,103.4359868,72.897871,28.81422107,6.441660191,59.38986708,30.82029701
